Correspondence between the short and original species names from:
	/home/z/BioNetGen-2.5.2/e5.net
s563	: E(s!1).F(s!2).S(p1~P,p2~U!1,p3~P!2,p4~U,p5~P)
s564	: E(s!1).F(s!2).S(p1~P,p2~U!1,p3~U,p4~P,p5~P!2)
s565	: E(s!1).F(s!2).S(p1~P,p2~U!1,p3~U,p4~P!2,p5~P)
s566	: E(s!1).E(s!2).S(p1~P,p2~P,p3~U!1,p4~U!2,p5~P)
s567	: E(s!1).E(s!2).S(p1~P,p2~P,p3~U!1,p4~P,p5~U!2)
s568	: E(s!1).F(s!2).S(p1~P,p2~P,p3~U!1,p4~P!2,p5~U)
s569	: E(s!1).F(s!2).S(p1~P,p2~P,p3~U!1,p4~U,p5~P!2)
s570	: E(s!1).E(s!2).S(p1~P,p2~P,p3~P,p4~U!1,p5~U!2)
s571	: S(p1~P,p2~P,p3~P,p4~P,p5~U)
s572	: S(p1~P,p2~P,p3~P,p4~U,p5~P)
s573	: E(s!1).F(s!2).S(p1~P,p2~P,p3~P!2,p4~U!1,p5~U)
s574	: E(s!1).F(s!2).S(p1~P,p2~P,p3~P!2,p4~U,p5~U!1)
s575	: E(s!1).F(s!2).S(p1~P,p2~P,p3~U,p4~U!1,p5~P!2)
s576	: S(p1~P,p2~P,p3~U,p4~P,p5~P)
s577	: E(s!1).F(s!2).S(p1~P,p2~P,p3~U,p4~P!2,p5~U!1)
s578	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~P,p2~P!4,p3~U!1,p4~U!2,p5~U!3)
s579	: E(s!1).F(s!2).S(p1~P,p2~P!2,p3~U!1,p4~P,p5~U)
s580	: E(s!1).F(s!2).S(p1~P,p2~P!2,p3~U!1,p4~U,p5~P)
s581	: E(s!1).F(s!2).S(p1~P,p2~P!2,p3~P,p4~U!1,p5~U)
s582	: E(s!1).F(s!2).S(p1~P,p2~P!2,p3~P,p4~U,p5~U!1)
s583	: F(s!1).F(s!2).S(p1~P,p2~P!1,p3~P!2,p4~U,p5~U)
s584	: E(s!1).F(s!2).S(p1~P,p2~P!2,p3~U,p4~U!1,p5~P)
s585	: E(s!1).F(s!2).S(p1~P,p2~P!2,p3~U,p4~P,p5~U!1)
s586	: F(s!1).F(s!2).S(p1~P,p2~P!1,p3~U,p4~P!2,p5~U)
s587	: F(s!1).F(s!2).S(p1~P,p2~P!1,p3~U,p4~U,p5~P!2)
s588	: E(s!1).F(s!2).S(p1~P,p2~U,p3~U!1,p4~P,p5~P!2)
s589	: E(s!1).F(s!2).S(p1~P,p2~U,p3~U!1,p4~P!2,p5~P)
s590	: E(s!1).F(s!2).S(p1~P,p2~U,p3~P,p4~U!1,p5~P!2)
s591	: S(p1~P,p2~U,p3~P,p4~P,p5~P)
s592	: E(s!1).F(s!2).S(p1~P,p2~U,p3~P,p4~P!2,p5~U!1)
s593	: E(s!1).F(s!2).S(p1~P,p2~U,p3~P!2,p4~U!1,p5~P)
s594	: E(s!1).F(s!2).S(p1~P,p2~U,p3~P!2,p4~P,p5~U!1)
s595	: F(s!1).F(s!2).S(p1~P,p2~U,p3~P!1,p4~P!2,p5~U)
s596	: F(s!1).F(s!2).S(p1~P,p2~U,p3~P!1,p4~U,p5~P!2)
s597	: F(s!1).F(s!2).S(p1~P,p2~U,p3~U,p4~P!1,p5~P!2)
s598	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~P!4,p2~U!1,p3~U!2,p4~U!3,p5~P)
s599	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~P!4,p2~U!1,p3~U!2,p4~P,p5~U!3)
s600	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~P!3,p2~U!1,p3~U!2,p4~P!4,p5~U)
s601	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~P!3,p2~U!1,p3~U!2,p4~U,p5~P!4)
s602	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~P!4,p2~U!1,p3~P,p4~U!2,p5~U!3)
s603	: E(s!1).F(s!2).S(p1~P!2,p2~U!1,p3~P,p4~P,p5~U)
s604	: E(s!1).F(s!2).S(p1~P!2,p2~U!1,p3~P,p4~U,p5~P)
s605	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~P!3,p2~U!1,p3~P!4,p4~U!2,p5~U)
s606	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~P!3,p2~U!1,p3~P!4,p4~U,p5~U!2)
s607	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~P!3,p2~U!1,p3~U,p4~U!2,p5~P!4)
s608	: E(s!1).F(s!2).S(p1~P!2,p2~U!1,p3~U,p4~P,p5~P)
s609	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~P!3,p2~U!1,p3~U,p4~P!4,p5~U!2)
s610	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~P!4,p2~P,p3~U!1,p4~U!2,p5~U!3)
s611	: E(s!1).F(s!2).S(p1~P!2,p2~P,p3~U!1,p4~P,p5~U)
s612	: E(s!1).F(s!2).S(p1~P!2,p2~P,p3~U!1,p4~U,p5~P)
s613	: E(s!1).F(s!2).S(p1~P!2,p2~P,p3~P,p4~U!1,p5~U)
s614	: E(s!1).F(s!2).S(p1~P!2,p2~P,p3~P,p4~U,p5~U!1)
s615	: F(s!1).F(s!2).S(p1~P!1,p2~P,p3~P!2,p4~U,p5~U)
s616	: E(s!1).F(s!2).S(p1~P!2,p2~P,p3~U,p4~U!1,p5~P)
s617	: E(s!1).F(s!2).S(p1~P!2,p2~P,p3~U,p4~P,p5~U!1)
s618	: F(s!1).F(s!2).S(p1~P!1,p2~P,p3~U,p4~P!2,p5~U)
s619	: F(s!1).F(s!2).S(p1~P!1,p2~P,p3~U,p4~U,p5~P!2)
s620	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~P!3,p2~P!4,p3~U!1,p4~U!2,p5~U)
s621	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~P!3,p2~P!4,p3~U!1,p4~U,p5~U!2)
s622	: F(s!1).F(s!2).S(p1~P!1,p2~P!2,p3~P,p4~U,p5~U)
s623	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~P!3,p2~P!4,p3~U,p4~U!1,p5~U!2)
s624	: F(s!1).F(s!2).S(p1~P!1,p2~P!2,p3~U,p4~P,p5~U)
s625	: F(s!1).F(s!2).S(p1~P!1,p2~P!2,p3~U,p4~U,p5~P)
s626	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~P!3,p2~U,p3~U!1,p4~U!2,p5~P!4)
s627	: E(s!1).F(s!2).S(p1~P!2,p2~U,p3~U!1,p4~P,p5~P)
s628	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~P!3,p2~U,p3~U!1,p4~P!4,p5~U!2)
s629	: E(s!1).F(s!2).S(p1~P!2,p2~U,p3~P,p4~U!1,p5~P)
s630	: E(s!1).F(s!2).S(p1~P!2,p2~U,p3~P,p4~P,p5~U!1)
s631	: F(s!1).F(s!2).S(p1~P!1,p2~U,p3~P,p4~P!2,p5~U)
s632	: F(s!1).F(s!2).S(p1~P!1,p2~U,p3~P,p4~U,p5~P!2)
s633	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~P!3,p2~U,p3~P!4,p4~U!1,p5~U!2)
s634	: F(s!1).F(s!2).S(p1~P!1,p2~U,p3~P!2,p4~P,p5~U)
s635	: F(s!1).F(s!2).S(p1~P!1,p2~U,p3~P!2,p4~U,p5~P)
s636	: F(s!1).F(s!2).S(p1~P!1,p2~U,p3~U,p4~P,p5~P!2)
s637	: F(s!1).F(s!2).S(p1~P!1,p2~U,p3~U,p4~P!2,p5~P)
s638	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U,p2~U!1,p3~U!2,p4~P!3,p5~P!4)
s639	: E(s!1).F(s!2).S(p1~U,p2~U!1,p3~P,p4~P,p5~P!2)
s640	: E(s!1).F(s!2).S(p1~U,p2~U!1,p3~P,p4~P!2,p5~P)
s641	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U,p2~U!1,p3~P!3,p4~U!2,p5~P!4)
s642	: E(s!1).F(s!2).S(p1~U,p2~U!1,p3~P!2,p4~P,p5~P)
s643	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U,p2~U!1,p3~P!3,p4~P!4,p5~U!2)
s644	: E(s!1).F(s!2).S(p1~U,p2~P,p3~U!1,p4~P,p5~P!2)
s645	: E(s!1).F(s!2).S(p1~U,p2~P,p3~U!1,p4~P!2,p5~P)
s646	: E(s!1).F(s!2).S(p1~U,p2~P,p3~P,p4~U!1,p5~P!2)
s647	: S(p1~U,p2~P,p3~P,p4~P,p5~P)
s648	: E(s!1).F(s!2).S(p1~U,p2~P,p3~P,p4~P!2,p5~U!1)
s649	: E(s!1).F(s!2).S(p1~U,p2~P,p3~P!2,p4~U!1,p5~P)
s650	: E(s!1).F(s!2).S(p1~U,p2~P,p3~P!2,p4~P,p5~U!1)
s651	: F(s!1).F(s!2).S(p1~U,p2~P,p3~P!1,p4~P!2,p5~U)
s652	: F(s!1).F(s!2).S(p1~U,p2~P,p3~P!1,p4~U,p5~P!2)
s653	: F(s!1).F(s!2).S(p1~U,p2~P,p3~U,p4~P!1,p5~P!2)
s654	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U,p2~P!3,p3~U!1,p4~U!2,p5~P!4)
s655	: E(s!1).F(s!2).S(p1~U,p2~P!2,p3~U!1,p4~P,p5~P)
s656	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U,p2~P!3,p3~U!1,p4~P!4,p5~U!2)
s657	: E(s!1).F(s!2).S(p1~U,p2~P!2,p3~P,p4~U!1,p5~P)
s658	: E(s!1).F(s!2).S(p1~U,p2~P!2,p3~P,p4~P,p5~U!1)
s659	: F(s!1).F(s!2).S(p1~U,p2~P!1,p3~P,p4~P!2,p5~U)
s660	: F(s!1).F(s!2).S(p1~U,p2~P!1,p3~P,p4~U,p5~P!2)
s661	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U,p2~P!3,p3~P!4,p4~U!1,p5~U!2)
s662	: F(s!1).F(s!2).S(p1~U,p2~P!1,p3~P!2,p4~P,p5~U)
s663	: F(s!1).F(s!2).S(p1~U,p2~P!1,p3~P!2,p4~U,p5~P)
s664	: F(s!1).F(s!2).S(p1~U,p2~P!1,p3~U,p4~P,p5~P!2)
s665	: F(s!1).F(s!2).S(p1~U,p2~P!1,p3~U,p4~P!2,p5~P)
s666	: F(s!1).F(s!2).S(p1~U,p2~U,p3~P,p4~P!1,p5~P!2)
s667	: F(s!1).F(s!2).S(p1~U,p2~U,p3~P!1,p4~P,p5~P!2)
s668	: F(s!1).F(s!2).S(p1~U,p2~U,p3~P!1,p4~P!2,p5~P)
s669	: E(s!1).E(s!2).E(s!3).F(s!4).F(s!5).S(p1~U!1,p2~U!2,p3~U!3,p4~P!4,p5~P!5)
s670	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U!2,p3~P,p4~P,p5~P!3)
s671	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U!2,p3~P,p4~P!3,p5~P)
s672	: E(s!1).E(s!2).E(s!3).F(s!4).F(s!5).S(p1~U!1,p2~U!2,p3~P!4,p4~U!3,p5~P!5)
s673	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U!2,p3~P!3,p4~P,p5~P)
s674	: E(s!1).E(s!2).E(s!3).F(s!4).F(s!5).S(p1~U!1,p2~U!2,p3~P!4,p4~P!5,p5~U!3)
s675	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P,p3~U!2,p4~P,p5~P!3)
s676	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P,p3~U!2,p4~P!3,p5~P)
s677	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P,p3~P,p4~U!2,p5~P!3)
s678	: E(s!1).S(p1~U!1,p2~P,p3~P,p4~P,p5~P)
s679	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P,p3~P,p4~P!3,p5~U!2)
s680	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P,p3~P!3,p4~U!2,p5~P)
s681	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P,p3~P!3,p4~P,p5~U!2)
s682	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~P,p3~P!2,p4~P!3,p5~U)
s683	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~P,p3~P!2,p4~U,p5~P!3)
s684	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~P,p3~U,p4~P!2,p5~P!3)
s685	: E(s!1).E(s!2).E(s!3).F(s!4).F(s!5).S(p1~U!1,p2~P!4,p3~U!2,p4~U!3,p5~P!5)
s686	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P!3,p3~U!2,p4~P,p5~P)
s687	: E(s!1).E(s!2).E(s!3).F(s!4).F(s!5).S(p1~U!1,p2~P!4,p3~U!2,p4~P!5,p5~U!3)
s688	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P!3,p3~P,p4~U!2,p5~P)
s689	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P!3,p3~P,p4~P,p5~U!2)
s690	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~P!2,p3~P,p4~P!3,p5~U)
s691	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~P!2,p3~P,p4~U,p5~P!3)
s692	: E(s!1).E(s!2).E(s!3).F(s!4).F(s!5).S(p1~U!1,p2~P!4,p3~P!5,p4~U!2,p5~U!3)
s693	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~P!2,p3~P!3,p4~P,p5~U)
s694	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~P!2,p3~P!3,p4~U,p5~P)
s695	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~P!2,p3~U,p4~P,p5~P!3)
s696	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~P!2,p3~U,p4~P!3,p5~P)
s697	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~U,p3~P,p4~P!2,p5~P!3)
s698	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~U,p3~P!2,p4~P,p5~P!3)
s699	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~U,p3~P!2,p4~P!3,p5~P)
s700	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U!1,p3~U!2,p4~P,p5~P!3)
s701	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U!1,p3~U!2,p4~P!3,p5~P)
s702	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U!1,p3~P,p4~U!2,p5~P!3)
s703	: E(s!1).S(p1~P,p2~U!1,p3~P,p4~P,p5~P)
s704	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U!1,p3~P,p4~P!3,p5~U!2)
s705	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U!1,p3~P!3,p4~U!2,p5~P)
s706	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U!1,p3~P!3,p4~P,p5~U!2)
s707	: E(s!1).F(s!2).F(s!3).S(p1~P,p2~U!1,p3~P!2,p4~P!3,p5~U)
s708	: E(s!1).F(s!2).F(s!3).S(p1~P,p2~U!1,p3~P!2,p4~U,p5~P!3)
s709	: E(s!1).F(s!2).F(s!3).S(p1~P,p2~U!1,p3~U,p4~P!2,p5~P!3)
s710	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~P,p3~U!1,p4~U!2,p5~P!3)
s711	: E(s!1).S(p1~P,p2~P,p3~U!1,p4~P,p5~P)
s712	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~P,p3~U!1,p4~P!3,p5~U!2)
s713	: E(s!1).S(p1~P,p2~P,p3~P,p4~U!1,p5~P)
s714	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~U!1)
s715	: F(s!1).S(p1~P,p2~P,p3~P,p4~P!1,p5~U)
s716	: F(s!1).S(p1~P,p2~P,p3~P,p4~U,p5~P!1)
s717	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~P,p3~P!3,p4~U!1,p5~U!2)
s718	: F(s!1).S(p1~P,p2~P,p3~P!1,p4~P,p5~U)
s719	: F(s!1).S(p1~P,p2~P,p3~P!1,p4~U,p5~P)
s720	: F(s!1).S(p1~P,p2~P,p3~U,p4~P,p5~P!1)
s721	: F(s!1).S(p1~P,p2~P,p3~U,p4~P!1,p5~P)
s722	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~P!3,p3~U!1,p4~U!2,p5~P)
s723	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~P!3,p3~U!1,p4~P,p5~U!2)
s724	: E(s!1).F(s!2).F(s!3).S(p1~P,p2~P!2,p3~U!1,p4~P!3,p5~U)
s725	: E(s!1).F(s!2).F(s!3).S(p1~P,p2~P!2,p3~U!1,p4~U,p5~P!3)
s726	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~P!3,p3~P,p4~U!1,p5~U!2)
s727	: F(s!1).S(p1~P,p2~P!1,p3~P,p4~P,p5~U)
s728	: F(s!1).S(p1~P,p2~P!1,p3~P,p4~U,p5~P)
s729	: E(s!1).F(s!2).F(s!3).S(p1~P,p2~P!2,p3~P!3,p4~U!1,p5~U)
s730	: E(s!1).F(s!2).F(s!3).S(p1~P,p2~P!2,p3~P!3,p4~U,p5~U!1)
s731	: E(s!1).F(s!2).F(s!3).S(p1~P,p2~P!2,p3~U,p4~U!1,p5~P!3)
s732	: F(s!1).S(p1~P,p2~P!1,p3~U,p4~P,p5~P)
s733	: E(s!1).F(s!2).F(s!3).S(p1~P,p2~P!2,p3~U,p4~P!3,p5~U!1)
s734	: E(s!1).F(s!2).F(s!3).S(p1~P,p2~U,p3~U!1,p4~P!2,p5~P!3)
s735	: F(s!1).S(p1~P,p2~U,p3~P,p4~P,p5~P!1)
s736	: F(s!1).S(p1~P,p2~U,p3~P,p4~P!1,p5~P)
s737	: E(s!1).F(s!2).F(s!3).S(p1~P,p2~U,p3~P!2,p4~U!1,p5~P!3)
s738	: F(s!1).S(p1~P,p2~U,p3~P!1,p4~P,p5~P)
s739	: E(s!1).F(s!2).F(s!3).S(p1~P,p2~U,p3~P!2,p4~P!3,p5~U!1)
s740	: E(s!1).E(s!2).E(s!3).F(s!4).F(s!5).S(p1~P!4,p2~U!1,p3~U!2,p4~U!3,p5~P!5)
s741	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U!1,p3~U!2,p4~P,p5~P)
s742	: E(s!1).E(s!2).E(s!3).F(s!4).F(s!5).S(p1~P!4,p2~U!1,p3~U!2,p4~P!5,p5~U!3)
s743	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U!1,p3~P,p4~U!2,p5~P)
s744	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U!1,p3~P,p4~P,p5~U!2)
s745	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U!1,p3~P,p4~P!3,p5~U)
s746	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U!1,p3~P,p4~U,p5~P!3)
s747	: E(s!1).E(s!2).E(s!3).F(s!4).F(s!5).S(p1~P!4,p2~U!1,p3~P!5,p4~U!2,p5~U!3)
s748	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U!1,p3~P!3,p4~P,p5~U)
s749	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U!1,p3~P!3,p4~U,p5~P)
s750	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U!1,p3~U,p4~P,p5~P!3)
s751	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U!1,p3~U,p4~P!3,p5~P)
s752	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~P,p3~U!1,p4~U!2,p5~P)
s753	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~P,p3~U!1,p4~P,p5~U!2)
s754	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P,p3~U!1,p4~P!3,p5~U)
s755	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P,p3~U!1,p4~U,p5~P!3)
s756	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~P,p3~P,p4~U!1,p5~U!2)
s757	: F(s!1).S(p1~P!1,p2~P,p3~P,p4~P,p5~U)
s758	: F(s!1).S(p1~P!1,p2~P,p3~P,p4~U,p5~P)
s759	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P,p3~P!3,p4~U!1,p5~U)
s760	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P,p3~P!3,p4~U,p5~U!1)
s761	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P,p3~U,p4~U!1,p5~P!3)
s762	: F(s!1).S(p1~P!1,p2~P,p3~U,p4~P,p5~P)
s763	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P,p3~U,p4~P!3,p5~U!1)
s764	: E(s!1).E(s!2).E(s!3).F(s!4).F(s!5).S(p1~P!4,p2~P!5,p3~U!1,p4~U!2,p5~U!3)
s765	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P!3,p3~U!1,p4~P,p5~U)
s766	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P!3,p3~U!1,p4~U,p5~P)
s767	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P!3,p3~P,p4~U!1,p5~U)
s768	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P!3,p3~P,p4~U,p5~U!1)
s769	: F(s!1).F(s!2).F(s!3).S(p1~P!1,p2~P!2,p3~P!3,p4~U,p5~U)
s770	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P!3,p3~U,p4~U!1,p5~P)
s771	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P!3,p3~U,p4~P,p5~U!1)
s772	: F(s!1).F(s!2).F(s!3).S(p1~P!1,p2~P!2,p3~U,p4~P!3,p5~U)
s773	: F(s!1).F(s!2).F(s!3).S(p1~P!1,p2~P!2,p3~U,p4~U,p5~P!3)
s774	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U,p3~U!1,p4~P,p5~P!3)
s775	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U,p3~U!1,p4~P!3,p5~P)
s776	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U,p3~P,p4~U!1,p5~P!3)
s777	: F(s!1).S(p1~P!1,p2~U,p3~P,p4~P,p5~P)
s778	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U,p3~P,p4~P!3,p5~U!1)
s779	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U,p3~P!3,p4~U!1,p5~P)
s780	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U,p3~P!3,p4~P,p5~U!1)
s781	: F(s!1).F(s!2).F(s!3).S(p1~P!1,p2~U,p3~P!2,p4~P!3,p5~U)
s782	: F(s!1).F(s!2).F(s!3).S(p1~P!1,p2~U,p3~P!2,p4~U,p5~P!3)
s783	: F(s!1).F(s!2).F(s!3).S(p1~P!1,p2~U,p3~U,p4~P!2,p5~P!3)
s784	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~U!1,p3~P,p4~P!2,p5~P!3)
s785	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~U!1,p3~P!2,p4~P,p5~P!3)
s786	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~U!1,p3~P!2,p4~P!3,p5~P)
s787	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P,p3~U!1,p4~P!2,p5~P!3)
s788	: F(s!1).S(p1~U,p2~P,p3~P,p4~P,p5~P!1)
s789	: F(s!1).S(p1~U,p2~P,p3~P,p4~P!1,p5~P)
s790	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P,p3~P!2,p4~U!1,p5~P!3)
s791	: F(s!1).S(p1~U,p2~P,p3~P!1,p4~P,p5~P)
s792	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P,p3~P!2,p4~P!3,p5~U!1)
s793	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P!2,p3~U!1,p4~P,p5~P!3)
s794	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P!2,p3~U!1,p4~P!3,p5~P)
s795	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P!2,p3~P,p4~U!1,p5~P!3)
s796	: F(s!1).S(p1~U,p2~P!1,p3~P,p4~P,p5~P)
s797	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P!2,p3~P,p4~P!3,p5~U!1)
s798	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P!2,p3~P!3,p4~U!1,p5~P)
s799	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P!2,p3~P!3,p4~P,p5~U!1)
s800	: F(s!1).F(s!2).F(s!3).S(p1~U,p2~P!1,p3~P!2,p4~P!3,p5~U)
s801	: F(s!1).F(s!2).F(s!3).S(p1~U,p2~P!1,p3~P!2,p4~U,p5~P!3)
s802	: F(s!1).F(s!2).F(s!3).S(p1~U,p2~P!1,p3~U,p4~P!2,p5~P!3)
s803	: F(s!1).F(s!2).F(s!3).S(p1~U,p2~U,p3~P!1,p4~P!2,p5~P!3)
s804	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~P,p4~P!3,p5~P!4)
s805	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~P!3,p4~P,p5~P!4)
s806	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~P!3,p4~P!4,p5~P)
s807	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P,p3~U!2,p4~P!3,p5~P!4)
s808	: E(s!1).F(s!2).S(p1~U!1,p2~P,p3~P,p4~P,p5~P!2)
s809	: E(s!1).F(s!2).S(p1~U!1,p2~P,p3~P,p4~P!2,p5~P)
s810	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P,p3~P!3,p4~U!2,p5~P!4)
s811	: E(s!1).F(s!2).S(p1~U!1,p2~P,p3~P!2,p4~P,p5~P)
s812	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P,p3~P!3,p4~P!4,p5~U!2)
s813	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!3,p3~U!2,p4~P,p5~P!4)
s814	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!3,p3~U!2,p4~P!4,p5~P)
s815	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!3,p3~P,p4~U!2,p5~P!4)
s816	: E(s!1).F(s!2).S(p1~U!1,p2~P!2,p3~P,p4~P,p5~P)
s817	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!3,p3~P,p4~P!4,p5~U!2)
s818	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!3,p3~P!4,p4~U!2,p5~P)
s819	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!3,p3~P!4,p4~P,p5~U!2)
s820	: E(s!1).F(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!2,p3~P!3,p4~P!4,p5~U)
s821	: E(s!1).F(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!2,p3~P!3,p4~U,p5~P!4)
s822	: E(s!1).F(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!2,p3~U,p4~P!3,p5~P!4)
s823	: E(s!1).F(s!2).F(s!3).F(s!4).S(p1~U!1,p2~U,p3~P!2,p4~P!3,p5~P!4)
